2024-11-14 17:50:45.106 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.16秒
2024-11-14 17:50:45.107 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.15秒
2024-11-14 17:50:45.136 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.18秒
2024-11-14 17:50:46.306 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.23秒
2024-11-14 17:50:46.306 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 2 页
2024-11-14 17:50:46.318 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.24秒
2024-11-14 17:50:46.319 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 2 页
2024-11-14 17:50:46.331 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.24秒
2024-11-14 17:50:46.333 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.24秒
2024-11-14 17:50:46.341 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.24秒
2024-11-14 17:50:46.357 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.25秒
2024-11-14 17:50:46.372 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.27秒
2024-11-14 17:50:46.379 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.27秒
2024-11-14 17:50:46.380 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.25秒
2024-11-14 17:50:46.390 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.25秒
2024-11-14 17:50:46.509 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.19秒
2024-11-14 17:50:46.510 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.18秒
2024-11-14 17:50:46.511 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.18秒
2024-11-14 17:50:46.512 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 2 页
2024-11-14 17:50:46.514 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.17秒
2024-11-14 17:50:46.514 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.18秒
2024-11-14 17:50:46.519 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.16秒
2024-11-14 17:50:46.521 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.15秒
2024-11-14 17:50:46.521 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 2 页
2024-11-14 17:50:46.537 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.16秒
2024-11-14 17:50:46.539 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.15秒
2024-11-14 17:50:46.544 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.16秒
2024-11-14 17:50:46.759 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.25秒
2024-11-14 17:50:46.761 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.25秒
2024-11-14 17:50:46.762 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.25秒
2024-11-14 17:50:46.762 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 2 页
2024-11-14 17:50:46.773 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.26秒
2024-11-14 17:50:46.786 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.27秒
2024-11-14 17:50:46.865 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.35秒
2024-11-14 17:50:46.865 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 2 页
2024-11-14 17:50:46.964 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.43秒
2024-11-14 17:50:46.964 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 2 页
2024-11-14 17:50:46.974 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.43秒
2024-11-14 17:50:46.977 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.44秒
2024-11-14 17:50:47.009 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.47秒
2024-11-14 17:50:47.010 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 2 页
2024-11-14 17:50:47.427 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.67秒
2024-11-14 17:50:47.428 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 3 页
2024-11-14 17:50:47.436 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.66秒
2024-11-14 17:50:47.438 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.66秒
2024-11-14 17:50:47.441 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.65秒
2024-11-14 17:50:47.442 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.68秒
2024-11-14 17:50:47.442 | DEBUG    | src.pdf_parser:find_summary_text:42 - 处理第 3 页
2024-11-14 17:50:47.461 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.58秒
2024-11-14 17:50:47.463 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.49秒
2024-11-14 17:50:47.464 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.49秒
2024-11-14 17:50:47.468 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.45秒
2024-11-14 17:50:47.469 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 0.49秒
2024-11-14 17:50:48.917 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.49秒
2024-11-14 17:50:48.924 | DEBUG    | src.model_loader:encode_text:25 - 文本编码完成，耗时: 1.49秒
